167 28 	0
111 78 	1
156 80	2
217 75	3
317 71	4
512 74	5
615 79	6

697 106	7
624 135	8
506 153	9
366 195	10
341 138	11
283 151	12
228 138	13

163 138	14
113 144	15
118 221	16
230 221	17
278 202	18
324 220	19
288 255	20
	
215 278	21
98 282	22
88 352	23
156 351	24
219 352	25
267 347	26
305 345	27

340 338	28
410 336	29
392 283	30
445 281	31
480 235	32
648 283	33
636 190	34

487 196	35
329 278	36
73 398	37
149 403	38
214 403	39
304 397	40
344 396	41


256 441	42
387 451	43
445 435	44
503 273	45
509 328	46
655 337	47
682 382	48

67 464	49
275 508	50
251 550	51
320 514	52
307 563	53
377 516	54
452 508	55


593 486	56
704 434	57
675 171	58
430 201	59
353 244	60
173 452	61
265 399	62

-1 -1 -1
